Row Labels,Average of value,Max of value,Min of value,StdDev of value
Bas-Uele,16502.98098,906416,0,88505.19591
Equateur,2557.810606,212188,0,17402.00488
Haut-Katanga,38204.6875,932535,0,125983.9771
Haut-Lomami,78192.38571,1943040,0,240571.3828
Haut-Uele,5324.737903,337900,0,36611.08005
Ituri,126008.9643,3899437,0,518876.3257
Kasaï,127964.6023,5987601,0,584345.4199
Kasaï-Central,103186.9485,3400451,0,400449.0637
Kasaï-Oriental,52349.125,462565,0,124885.7155
Kinshasa,138350.2188,1452116,0,335110.7945
Kongo-Central,45334.95139,776675,0,131816.3689
Kwango,197786.2417,3725130,0,591305.9294
Kwilu,56886.10938,1291916,0,186388.4877
Lomami,449013.1597,7882234,0,1284938.114
Lualaba,45387.94097,838416,0,135468.1534
Maï-Ndombe,11291.68611,814173,0,60199.31075
Maniema,57941.9256,1436247,0,198785.2281
Mongala,5134.05625,362184,0,36562.03699
Nord-Kivu,62778.27083,2305792,0,280735.4521
Nord-Ubangi,149848.3125,3146029,0,543987.619
Sankuru,16138.76014,385521,0,54313.54167
Sud-Kivu,78163.20139,1523112,0,260145.9888
Sud-Ubangi,122722.4792,5156604,0,594091.3123
Tanganyika,53673.68155,2118453,0,199446.5593
Tshopo,4189.675,186761,0,21790.52835
Tshuapa,0.0,0,0,0.0
Grand Total,60953.07388,7882234,0,339828.7799
